PA01-15;C2J EVOLUDERM;15050/01;PUR;O;Huile bébé à l'huile d'amande douce;1;Très légèrement irritant;0,1
PA05-16;EVOLUDERM;16702/02;PUR;O;Huile d'amande douce bébé;1;Très légèrement irritant;0,087
PA08-16;Puressentiel;16938/01;PUR;O;baume bébé détente;1;Légèrement irritant;0,217
PA08-16;Puressentiel;16939/01;PUR;O;baume bébé respiratoire;1;Très légèrement irritant;0,087
PA13-16;Laboratoires Gilbert;17462/04;PUR;O;Lait corps HAPPY - 3809-1.09;1;Très légèrement irritant;0,083
PA3PA17002;PURESSENTIEL France;18130/02;100%;O;PURESSENTIEL BEBE PUR LINIMENT - ECHSF0000038637 - CTG141195/0/06;1;Très légèrement irritant;0,086956522
PA3PA17007;Laboratoires Gilbert;17931/02;100%;O;Soin hydratant bébé - 3668-3.09;1;Non irritant;0
PA3PA17008;Laboratoires Gilbert;17930/01;100%;O;SOIN RELIPIDANT VISAGE ET CORPS 3622-1.10;1;Non irritant;0,041666667
PA3PA17008;PURESSENTIEL France;18693/02;100%;O;PURESSENTIEL BEBE PUR CREME VISAGE & CORPS BIO - ECHSF0000038975 - CTG141186/0/14;1;Non irritant;0
PA3PA17013;Ponroy Vitarmonyl Industrie;19088/02;100%;O;Crème Cold Cream - BCO 16108JP01;1;Non irritant;0
PA3PA17018;PVI;19063/01;100%;O;LINIMENT - BLI17121VG01;1;Non irritant;0
PA3PA18001;CODEXIAL DERMATOLOGIE;19564/02;100%;O;Calmiscab intense - 17347L4;1;Non irritant;0,043478261
PA3PA18004;S+;19566/01;100%;O;VOILE HYDRATANT FRAICHEUR CORPS RENDEZ VOUS - CTG172418/00/01;1;Non irritant;0
PA3PA20008;EUROWIPES;22986/02;100%;O;Lotion bébé - 2019-52/B02;1;Non irritant;0
PA01-13;AYSSE;2838/1;PUR;O;Huile précieuse de massage, SOIN PRECIEUX, réf: E-1100-23A3, lot: 230113;2;Non irritant;0
PA01-13;BOURJOIS;2839/1;PUR;O;CC cream visage SPF15 - 17F017635.08;2;Non irritant;0
PA01-13;ICP;2846/1;PUR;O;Crème à l'arnica, réf: ICP2021-1F;2;Non irritant;0,05
PA01-13;SAVOIR DES PEUPLES;2836/2;PUR;O;Huile pailletée - réf. : 12325;2;Non irritant;0,05
