1;Produits de soin de la peau, visage et corps, bébé;Crème/lait/spray hydratant(e), crème protectrice/réparatrice pour le siège, baume, gel arnica, huile, talc
2;Produits de soin de la peau visage et corps, adulte;Dans l'onglet séparer les produits rincés et non rincés :  - Camembert testé à 100% : produit du type produit de soin du corps, mains, pieds, baume lèvres, crème/lait hydratant(e), masque visage (testé pur), sérum, gel arnica, huile de soin, lait après solaire, brume avant solaire; brume éclaircissante, produit de rasage (testé pur) (= lotion après rasage) - Camembert produits testés dilués : produit type exfoliant, produit rasage (dilué) 
3;Produits de nettoyage de la peau, visage et corps, bébé;Dans l'onglet séparer les produits rincés et non rincés :  Lait de toilette, eau nettoyante, lotion, lingette, liniment, eau micellaire,  crème change, gel lavant et shampoing - Camembert produits testés à 100%  - Camembert produits testés à 10%  - Camembert produits testés à 5%  - Camembert produits testés à 1%
4;Produits de nettoyage de la peau, visage et corps, adulte ;Dans l'onglet séparer produits rincés et non rincés :  - Camembert produits testés à 100% :  Lait/crème/brume/huile/lingette, eaudémaquillant/nettoyant(e) (pur), eau/lotion tonique et eau nettoyante, eau florale (produit pur) - Camembert produits testés à 10% : gel douche (y compris savon liquide et produit rasage (dilué)) produit testé à 10%  - Camembert produits testés à 3% : bain moussant (concerne les produits testés à 3%) - Camembert produits testés à 1%
5;Savon;Savon solide uniquement dans cette catégorie
6;Produit déodorants et anti-transpirants;Tous les déo
7;Contour des yeux;Crème contour des yeux, anti ride, crème visage (possible si dans la fiche de renseignement client, le DO a indiqué que la crème pouvait être appliquée au niveau du contour des yeux) Pas mettre de démaquillant ni masque
8;Maquillage;Fond de teint, ombre à paupière, rouge à lèvres….
9;Parfum et eaux de toilette;Tous les parfums et eaux de toilette
10;Produits solaires et autobronzants;Quand SPF dans le nom du produit et/ou quand filtre UV dans la formule quali/quanti
11;Produits de soin et de nettoyage capillaires, adulte;Séparation rincé et non rincé dans l'onglet Rincé : Shampoing, après shampoing,  Non rincé : sérum, huile, crème, lait, mousse, gel, cire
12;Produits pour les ongles;Tous les produits pour les ongles à l'exception des produits de soins des ongles qui vont plutôt dans la catégorie soin de la peau
13;Produits d'hygiène buccale;Bain de bouche, dentifrice, spray buccal
14;Divers;DM, biocides, produit de nettoyage à usage industriel, médicaments vétérinaires--> faire un point une fois par an pour voir si on ne peut pas faire une catégorie avec les produits
15;Cires à épiler;
